"company_name","slug","contact_email","telnr","website","vat","street","number","postcode","municipality","service_areas","specializations","main_categories","title","introduction","is_public","is_claimed"
"Gremby's Tuinen","gremby-s-tuinen","","","","BE1003423923","Opstalplein (SCH)","2/A","9200","Dendermonde","dendermonde","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Dendermonde","Met jarenlange ervaring in landschapsverzorging staat Gremby's Tuinen klaar voor al uw tuinwerk in Dendermonde. Betrouwbaar, lokaal en met oog voor detail.","false","false"
"Mattias van Meirvenne","mattias-van-meirvenne","","","","BE1005429744","Potterstraat(SP)","59","9170","Sint-Gillis-Waas","sint-gillis-waas","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Sint-Gillis-Waas","Mattias van Meirvenne is een lokale tuinaannemer uit Sint-Gillis-Waas, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Noah Antonis Tuinaanemer","noah-antonis-tuinaanemer","","","","BE1020916090","Geerstraat(STG)","104","9200","Dendermonde","dendermonde","paden-terrassen","tuinonderhoud","Tuinonderhoud in regio Dendermonde","Noah Antonis Tuinaanemer is een geregistreerd tuinbedrijf actief in Dendermonde en omgeving. Wij verzorgen tuinonderhoud, snoeiwerk en groenbeheer voor particulieren en bedrijven.","false","false"
"Outerior Concept","outerior-concept","","","","BE0640771805","Steenweg Deinze","195","9810","Nazareth","nazareth","tuinaanleg|gras-maaien|tuinontwerp","tuinaanleg","Tuinaanleg en -onderhoud in Nazareth","Outerior Concept is een lokale tuinaannemer uit Nazareth, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Omgevingswerken François JV en znn","omgevingswerken-francois-jv-en-znn","","","","BE0780926907","Koningsdonkstraat","130","9050","Gent","gent","tuinaanleg|gras-maaien","tuinaanleg","Tuinaanleg en -onderhoud in Gent","Omgevingswerken François JV en znn is een lokale tuinaannemer uit Gent, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Philip De Maesschalck","philip-de-maesschalck","","","","BE0442716710","Durmelaan","110","9160","Lokeren","lokeren","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Lokeren","Philip De Maesschalck is een geregistreerd tuinbedrijf actief in Lokeren en omgeving. Wij verzorgen tuinonderhoud, snoeiwerk en groenbeheer voor particulieren en bedrijven.","false","false"
"Steven David Green","steven-david-green","","","","BE1022848370","Mulderslos","19","9620","Zottegem","zottegem","bomen-snoeien|hagen-knippen|tuinaanleg|gras-maaien","tuinaanleg","Tuinaanleg en -onderhoud in Zottegem","Steven David Green is een lokale tuinaannemer uit Zottegem, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Ter Spore","ter-spore","","","","BE0427397935","Schoolstraat","22","9260","Wichelen","wichelen","tuinaanleg|gras-maaien","tuinaanleg","Tuinaanleg en -onderhoud in Wichelen","Ter Spore legt tuinen aan en onderhoudt groene ruimtes in Wichelen en de wijde regio. Van klein onderhoud tot volledige tuinaanleg op maat.","false","false"
"Tom van den Berghe","tom-van-den-berghe","","","","BE1014480834","Karmenhoekstraat","28","9850","Deinze","deinze","bomen-snoeien|hagen-knippen|tuinaanleg|gras-maaien","tuinaanleg","Tuinaanleg en -onderhoud in Deinze","Tom van den Berghe is een lokale tuinaannemer uit Deinze, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Greendeco","greendeco","info@vanallemeersch.be","051/20 42 10","","BE0698891631","Leenbosstraat","10","8830","Hooglede","hooglede","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Hooglede","Met jarenlange ervaring in landschapsverzorging staat Greendeco klaar voor al uw tuinwerk in Hooglede. Betrouwbaar, lokaal en met oog voor detail.","false","false"
"Groep Nvscil","groep-nvscil","kenneth.schoonvaere@gmail.com","0486908913","","BE1006864453","Bellestraat","4A","8691","Alveringem","alveringem","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Alveringem","Groep Nvscil is een lokale tuinaannemer uit Alveringem, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Groep Thomas Vanacker","groep-thomas-vanacker","info@archituin.be","0478050297","","BE0673669156","Polderstraat(Odk)","83","8670","Koksijde","koksijde","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Koksijde","Groep Thomas Vanacker is een geregistreerd tuinbedrijf actief in Koksijde en omgeving. Wij verzorgen tuinonderhoud, snoeiwerk en groenbeheer voor particulieren en bedrijven.","false","false"
"Anse","anse","","","","BE0471329730","Sint-Pietersstraat(West)","2","8954","Heuvelland","heuvelland","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Heuvelland","Met jarenlange ervaring in landschapsverzorging staat Anse klaar voor al uw tuinwerk in Heuvelland. Betrouwbaar, lokaal en met oog voor detail.","false","false"
"CT Gardens","ct-gardens","","","","BE1017693613","Zandstraat","406","8200","Brugge","brugge","bomen-snoeien|hagen-knippen|tuinaanleg|gras-maaien","tuinaanleg","Tuinaanleg en -onderhoud in Brugge","CT Gardens legt tuinen aan en onderhoudt groene ruimtes in Brugge en de wijde regio. Van klein onderhoud tot volledige tuinaanleg op maat.","false","false"
"Groei & Snoei","groei-snoei","","","","BE0791896221","Aardenburgseweg","15","8310","Brugge","brugge","bomen-snoeien|hagen-knippen|tuinaanleg|gras-maaien","tuinaanleg","Tuinaanleg en -onderhoud in Brugge","Groei & Snoei is een lokale tuinaannemer uit Brugge, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Het Wikingerhof","het-wikingerhof","","","","BE0477029964","Ruitersweg(Kor)","4","8500","Kortrijk","kortrijk","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Kortrijk","Met jarenlange ervaring in landschapsverzorging staat Het Wikingerhof klaar voor al uw tuinwerk in Kortrijk. Betrouwbaar, lokaal en met oog voor detail.","false","false"
"Peter Taildeman en co","peter-taildeman-en-co","","","","BE0501629956","Robert Schumanstraat","15","8700","Tielt","tielt","paden-terrassen","tuinonderhoud","Tuinonderhoud in regio Tielt","Peter Taildeman en co is een lokale tuinaannemer uit Tielt, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Tuinen Bavo Verkest","tuinen-bavo-verkest","","","","BE0798988802","Ter Booye","36","8700","Tielt","tielt","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Tielt","Tuinen Bavo Verkest is een geregistreerd tuinbedrijf actief in Tielt en omgeving. Wij verzorgen tuinonderhoud, snoeiwerk en groenbeheer voor particulieren en bedrijven.","false","false"
"Tuinen Chris Noppe","tuinen-chris-noppe","","","","BE0809268228","Erkegemstraat","16","8020","Oostkamp","oostkamp","bomen-snoeien|hagen-knippen|tuinaanleg|gras-maaien","tuinaanleg","Tuinaanleg en -onderhoud in Oostkamp","Tuinen Chris Noppe is een lokale tuinaannemer uit Oostkamp, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"'t Boerenlandschap","t-boerenlandschap","","","","BE0474409479","Zonnebeekseweg","361","8900","Ieper","ieper","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Ieper","'t Boerenlandschap is een lokale tuinaannemer uit Ieper, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"B.d.v. Tuinen","b-d-v-tuinen","","","","BE0612981701","Koningsstraat","78","8400","Oostende","oostende","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Oostende","B.d.v. Tuinen is een geregistreerd tuinbedrijf actief in Oostende en omgeving. Wij verzorgen tuinonderhoud, snoeiwerk en groenbeheer voor particulieren en bedrijven.","false","false"
"Goud & Groen","goud-groen","sofie.hanssens93@gmail.com","0494697796","","BE1021430487","Bieststraat","69","3550","Heusden-Zolder","heusden-zolder","bomen-snoeien|hagen-knippen","tuinonderhoud","Tuinonderhoud in regio Heusden-Zolder","Met jarenlange ervaring in landschapsverzorging staat Goud & Groen klaar voor al uw tuinwerk in Heusden-Zolder. Betrouwbaar, lokaal en met oog voor detail.","false","false"
"Hovea","hovea","rubenlinsen7@gmail.com","+32497823983","","BE1020793950","Konijnenpijp","2","3920","Lommel","lommel","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Lommel","Hovea is een lokale tuinaannemer uit Lommel, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Tuinen Dirk Romanus","tuinen-dirk-romanus","dirkromanus@hotmail.com","","","BE0744409474","Raffisstraat","14","3670","Oudsbergen","oudsbergen","paden-terrassen","tuinonderhoud","Tuinonderhoud in regio Oudsbergen","Tuinen Dirk Romanus is een geregistreerd tuinbedrijf actief in Oudsbergen en omgeving. Wij verzorgen tuinonderhoud, snoeiwerk en groenbeheer voor particulieren en bedrijven.","false","false"
"J&P Boomverzorging","j-p-boomverzorging","pieterbrebels.pb@gmail.com","011634849","","BE0689888051","Hoksentstraat","7","3940","Hechtel-Eksel","hechtel-eksel","paden-terrassen","tuinonderhoud","Tuinonderhoud in regio Hechtel-Eksel","Met jarenlange ervaring in landschapsverzorging staat J&P Boomverzorging klaar voor al uw tuinwerk in Hechtel-Eksel. Betrouwbaar, lokaal en met oog voor detail.","false","false"
"Vvzrl Thv van Vlierden - Mobilane - Mastop","vvzrl-thv-van-vlierden-mobilane-mastop","","011/560300","","BE0682454287","Berghei(SHL)","10","3910","Pelt","pelt","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Pelt","Vvzrl Thv van Vlierden - Mobilane - Mastop is een lokale tuinaannemer uit Pelt, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Boomverzorging Janssen","boomverzorging-janssen","","","","BE1007131105","Ceselaren","9","3830","Wellen","wellen","bomen-snoeien|hagen-knippen|tuinaanleg|gras-maaien","tuinaanleg","Tuinaanleg en -onderhoud in Wellen","Boomverzorging Janssen is een lokale tuinaannemer uit Wellen, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
